Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Focus,movie,"Comedy, Crime, Drama",2015,6.6,JP
Fujimi nichoume koukyou gakudan shirîzu: Kanrei zensen kondakutâ,movie,Drama,2012,5.3,JP
The Star of Cottonland,movie,"Animation, Drama, Fantasy",1984,7.0,JP
The Water Diviner,movie,"Drama, History, War",2014,7.0,JP
Danny Collins,movie,"Comedy, Drama, Music",2015,7.0,JP
Paul Blart: Mall Cop 2,movie,"Action, Comedy, Crime",2015,4.4,US
Violent Panic: The Big Crash,movie,"Action, Crime",1976,7.1,JP
Train Brain Express,movie,Drama,2011,6.1,JP
Love Under the Crucifix,movie,Drama,1962,6.7,JP
Kiba: Ankoku kishi gaiden,movie,"Action, Drama, Fantasy",2011,7.0,JP
The Intern,movie,"Comedy, Drama",2015,7.1,JP
Someday,movie,Drama,2011,6.9,JP
Thread of Lies,movie,"Drama, Mystery, Thriller",2014,7.2,JP
Jinsei gekijô: Hishakaku,movie,Crime,1963,7.6,JP
Tamako Love Story,movie,"Animation, Comedy, Drama",2014,7.0,JP
Tulip Fever,movie,"Drama, History, Romance",2017,6.2,JP
Happy Face Killer,movie,"Crime, Drama, Thriller",2014,5.3,US
Tora-san's Lovesick,movie,Comedy,1974,6.7,JP
The Loyal 47 Ronin,movie,Drama,1958,7.3,JP
Man in Love,movie,"Drama, Romance",2014,6.9,JP
Paris Follies,movie,Comedy,2014,6.4,JP
Carol,movie,"Drama, Romance",2015,7.3,JP
Tiger & Bunny: The Rising,movie,"Action, Adventure, Animation",2014,6.7,JP
Monster,movie,"Action, Drama, Thriller",2014,6.4,JP
Gekijouban Tenisu no oujisama: Eikokushiki teikyujou kessen!,movie,"Animation, Sport",2011,6.8,JP
Fantastic Beasts and Where to Find Them,movie,"Adventure, Family, Fantasy",2016,7.2,JP
Tom Segura: Completely Normal,movie,Comedy,2014,7.7,US
A Liar and a Broken Girl,movie,"Drama, Romance",2010,5.2,JP
Wild Detective,movie,"Action, Crime, Drama",1976,6.4,JP
Lupin the Third: The Gravestone of Daisuke Jigen,movie,"Action, Animation, Crime",2014,7.2,JP
Tora-san's Lullaby,movie,Comedy,1974,6.2,JP
American Ultra,movie,"Action, Comedy",2015,6.1,JP
8000 Miles 2: Girl Rappers,movie,"Comedy, Drama, Music",2010,5.9,JP
SR: Saitama no rappâ - Rôdosaido no toubousha,movie,"Comedy, Drama, Music",2012,3.7,JP
Where Spring Comes Late,movie,Drama,1970,7.6,JP
Tora-san's Rise and Fall,movie,Comedy,1975,7.0,JP
Babysitting,movie,Comedy,2014,6.7,JP
Hunting Rifle,movie,Drama,1961,6.6,JP
Shinjuku Swan,movie,"Action, Crime, Drama",2015,6.0,JP
Ani to sono imôto,movie,Drama,1939,6.9,JP
Game of Seduction,movie,Drama,1976,5.1,JP
Hope and Pain,movie,Drama,1988,6.6,JP
Knock Knock,movie,"Crime, Thriller",2015,4.9,JP
Yaju-deka,movie,"Action, Drama",1982,6.9,JP
Tokumei Sentai Go-Busters: The Movie - Protect the Tokyo Enetower!,movie,"Action, Adventure, Sci-Fi",2012,5.9,JP
Broken,movie,"Action, Drama, Thriller",2014,6.7,JP
18 Who Cause a Storm,movie,"Action, Crime, Drama",1963,6.7,JP
The Incident,movie,"Horror, Sci-Fi, Thriller",2014,6.3,JP
The Obscure Spring,movie,Drama,2014,6.0,JP
"Zyuden Sentai Kyoryuger vs. Go-Busters: Dinosaur Great Battle! Farewell, Eternal Friends",movie,"Action, Adventure, Sci-Fi",2014,7.6,JP
Alter Ego,movie,Horror,2002,4.7,JP
Documentary of AKB48: No Flower Without Rain,movie,"Documentary, Music",2013,7.6,JP
Room,movie,"Drama, Thriller",2015,8.1,JP
Shiosai,movie,"Drama, Romance",1975,5.9,JP
Homeland,movie,Drama,2014,6.8,JP
Magic Mike XXL,movie,"Comedy, Drama, Music",2015,5.6,JP
Mommy,movie,Drama,2014,8.0,JP
Wild Card,movie,"Action, Crime, Drama",2015,5.6,JP
Les formidables,movie,"Action, Crime, Drama",2006,6.0,JP
No Tears for the Dead,movie,"Action, Crime, Drama",2014,6.7,JP
Kamen Rider Wizard in Magic Land,movie,"Action, Adventure, Fantasy",2013,7.0,JP
A Girl at My Door,movie,Drama,2014,6.9,JP
Kamen Rider V3 vs. Destron Mutants,movie,"Action, Adventure, Drama",1973,5.4,JP
Pet Peeve,movie,Horror,2013,5.4,JP
Ask This of Rikyu,movie,"Biography, Drama, History",2013,6.7,JP
Kikaider: The Ultimate Human Robot,movie,Action,2014,5.5,JP
Arcana,movie,"Horror, Thriller",2013,5.1,JP
The Target,movie,"Action, Thriller",2014,6.2,JP
Man on High Heels,movie,"Action, Drama",2014,6.6,JP
"Tora-san, the Intellectual",movie,Comedy,1975,6.7,JP
London Has Fallen,movie,"Action, Thriller",2016,5.9,JP
Star Blazers 2199: Odyssey of the Celestial Ark,movie,"Action, Animation, Drama",2014,7.1,JP
Miss Hokusai,movie,"Animation, Biography, Drama",2015,6.7,JP
The Similars,movie,"Horror, Mystery, Sci-Fi",2015,5.9,JP
Warau Iemon,movie,"Drama, Horror",2004,5.4,JP
Kamen Rider Agito: Project G4,movie,"Action, Adventure, Drama",2001,6.2,JP
Video Games: The Movie,movie,"Documentary, History",2014,6.1,JP
Roommate,movie,"Drama, Horror, Thriller",2013,5.6,JP
Kamen Rider Movie War the Fateful Sengoku Battle: Kamen Rider vs. Kamen Rider Gaim & Wizard,movie,"Action, Adventure, Fantasy",2013,6.9,JP
A Hard Day,movie,"Action, Crime, Thriller",2014,7.2,JP
Mourning Recipe,movie,Drama,2013,6.4,JP
2:22,movie,"Drama, Mystery, Romance",2017,5.7,JP
Obsessed,movie,Drama,2014,6.2,JP
Berthe Morisot,movie,Biography,2012,6.3,JP
Super Hero Taisen Kamen Rider feat. Super Sentai: Heisei Rider vs. Showa Rider,movie,Action,2014,6.3,JP
Urutoraman Zofuii,movie,Sci-Fi,1984,5.7,JP
Urutoraman sutori,movie,Sci-Fi,1984,6.4,JP
The Last Survivors,movie,"Action, Sci-Fi, Thriller",2014,5.3,JP
Skiptrace,movie,"Action, Adventure, Comedy",2016,5.6,JP
Dead Angle,movie,"Action, Crime, Drama",1979,7.0,JP
K: Missing Kings,movie,"Action, Animation, Fantasy",2014,6.8,US
New Initial D the Movie: Legend 1 - Awakening,movie,"Action, Animation, Sport",2014,7.2,JP
Love & Mercy,movie,"Biography, Drama, Music",2014,7.4,JP
The Program,movie,"Biography, Drama, Sport",2015,6.5,JP
An Eye for Beauty,movie,Drama,2014,5.5,JP
Samurai Sentai Shinkenger Returns: Special Act,movie,Action,2010,7.0,JP
Kamen Rider Gaim: Great Soccer Battle! Golden Fruits Cup!,movie,"Action, Adventure, Fantasy",2014,6.4,JP
My Man,movie,"Crime, Drama, Romance",2014,6.2,JP
Untama giru,movie,"Comedy, Drama, Fantasy",1989,7.2,JP
Journey Into Solitude,movie,Drama,1972,6.8,JP
Zyuden Sentai Kyoryuger: 100 Years After,movie,Action,2014,6.7,JP
Documentary of AKB48: Show Must Go On,movie,"Documentary, Music",2012,8.0,JP
My House,movie,Drama,2012,7.9,JP
Jinkusu!!!,movie,Romance,2013,6.6,JP
Uchuu Keiji Shaider Next Generation,movie,Sci-Fi,2014,7.4,JP
Uchuu Keiji Sharivan Next Generation,movie,"Action, Sci-Fi",2014,7.3,JP
Sinbad: Make Me Wanna Holla!,movie,"Comedy, Documentary",2014,7.2,US
Monsutâzu,movie,"Drama, Sci-Fi",2014,5.5,JP
Geostorm,movie,"Action, Sci-Fi, Thriller",2017,5.3,JP
Ricki and the Flash,movie,"Comedy, Drama, Music",2015,6.0,US
What We Did on Our Holiday,movie,"Comedy, Drama",2014,6.9,JP
Everly,movie,"Action, Thriller",2014,5.1,JP
Miracle in Four Days,movie,Romance,2005,7.1,JP
Foodies: The Culinary Jet Set,movie,Documentary,2014,6.1,JP
Final Girl,movie,"Horror, Thriller",2015,4.7,JP
Sweet Poolside,movie,"Comedy, Drama, Romance",2014,5.9,JP
Say 'I Love You',movie,"Drama, Romance",2014,6.2,JP
Atashin'chi the Movie,movie,"Adventure, Animation, Comedy",2003,6.4,JP
Girl's Blood,movie,"Action, Drama",2014,5.3,JP
Puzzle,movie,"Horror, Thriller",2014,5.5,JP
Mechanic: Resurrection,movie,"Action, Adventure, Thriller",2016,5.7,JP
Mission Impossible: Samurai,movie,"Action, Comedy, History",2014,6.2,JP
The Extreme Sukiyaki,movie,Comedy,2013,6.8,JP
Insidious: Chapter 3,movie,"Horror, Mystery, Thriller",2015,6.1,US
The Divine Move,movie,"Action, Crime, Drama",2014,6.6,JP
Tora-san's Heart of Gold,movie,Comedy,1976,6.8,JP
"Sayonara, Dobyusshî",movie,"Drama, Music",2013,6.1,JP
Oh! Brothers,movie,"Comedy, Drama, Family",2003,5.9,JP
The Admiral: Roaring Currents,movie,"Action, History, War",2014,7.1,JP
Live,movie,"Action, Comedy, Horror",2014,5.1,JP
A Class to Remember 2,movie,Drama,1996,6.7,JP
Yakuza Apocalypse,movie,"Action, Comedy, Horror",2015,5.5,JP
A Little Chaos,movie,"Drama, Romance",2014,6.5,JP
The Light Between Oceans,movie,"Drama, Romance",2016,7.2,JP
Sister Game,movie,Comedy,2014,5.1,JP
Fires on the Plain,movie,"Drama, War",2014,6.6,JP
Haganai: I Don't Have Many Friends,movie,"Comedy, Drama",2014,5.1,JP
Fate/stay night [Heaven's Feel] I. presage flower,movie,"Action, Adventure, Animation",2017,7.4,US
Dearest,movie,Drama,2014,7.6,JP
Still Alice,movie,Drama,2014,7.5,JP
The Golden Era,movie,"Biography, Drama, Romance",2014,6.4,JP
Who Am I,movie,"Crime, Drama, Mystery",2014,7.4,JP
Shadow of Deception,movie,"Crime, Drama, Romance",1971,6.6,JP
The Pirates,movie,"Action, Adventure, Comedy",2014,6.5,JP
Pretty Cure All Stars New Stage 3: Eien no Tomodachi,movie,"Action, Adventure, Animation",2014,6.3,JP
The Walk,movie,"Adventure, Biography, Drama",2015,7.3,US
Max Steel,movie,"Action, Adventure, Fantasy",2016,4.6,JP
Tora-san Meets His Lordship,movie,Comedy,1977,6.8,JP
Adventure in Tokyo,movie,Drama,1952,7.3,JP
Hibi Rock: Puke Afro and the Pop Star,movie,"Comedy, Music",2014,5.6,JP
Swung,movie,"Comedy, Drama, Romance",2015,4.7,JP
Ultraman Cosmos: The First Contact,movie,"Adventure, Family, Fantasy",2001,6.2,JP
Kabukicho Love Hotel,movie,"Drama, Romance",2014,6.9,JP
Saint Seiya: Legend of Sanctuary,movie,"Action, Animation, Fantasy",2014,5.4,JP
Proof of the Man,movie,"Crime, Drama",1977,6.6,JP
The Light Shines Only There,movie,Drama,2014,6.6,JP
Shazam!,movie,"Action, Adventure, Comedy",2019,7.0,JP
The Transporter Refueled,movie,"Action, Thriller",2015,5.2,JP
American Muscle,movie,Action,2014,4.2,JP
Enoshima Prism,movie,"Comedy, Sci-Fi",2013,6.0,JP
Season of the Sun,movie,Drama,1956,6.6,JP
Jusei: Last Drop of Blood,movie,"Action, Crime, Drama",2003,6.1,JP
Deep Red Love,movie,Thriller,2013,6.1,JP
The Zookeeper's Wife,movie,"Biography, Drama, History",2017,7.0,JP
Modern Boy,movie,Drama,2008,6.0,JP
The Handmaiden,movie,"Drama, Romance, Thriller",2016,8.1,JP
Miracle: Devil Claus' Love and Magic,movie,"Comedy, Drama, Fantasy",2014,5.7,JP
Watashi no Hawaii no arukikata,movie,"Comedy, Romance",2014,5.9,JP
Lingering Spirits,movie,"Comedy, Fantasy",2014,6.8,JP
Ataru: The First Love & the Last Kill,movie,Drama,2013,5.6,JP
ST: Aka to Shiro no Sôsa File the Movie,movie,Thriller,2015,6.4,JP
Tracers,movie,"Action, Crime, Drama",2015,5.6,JP
Yoga Hosers,movie,"Action, Comedy, Horror",2016,4.3,JP
The Family Fang,movie,"Comedy, Drama, Mystery",2015,6.1,JP
Unlocked,movie,"Action, Thriller",2017,6.3,JP
The Sea of Trees,movie,"Drama, Fantasy, Mystery",2015,6.1,JP
A Record of Sweet Murder,movie,Horror,2014,6.3,JP
Assassination,movie,"Action, Drama, Thriller",2015,7.2,JP
Now You See Me 2,movie,"Action, Adventure, Comedy",2016,6.4,JP
Dirty Grandpa,movie,Comedy,2016,5.9,US
The Bye Bye Man,movie,"Drama, Fantasy, Horror",2017,4.3,JP
Detective Story,movie,"Crime, Drama, Mystery",1983,6.2,JP
One Third,movie,"Crime, Drama",2014,6.3,JP
Thomas & Friends: Tale of the Brave,movie,"Adventure, Animation, Comedy",2014,6.3,JP
Kong: Skull Island,movie,"Action, Adventure, Fantasy",2017,6.7,JP
Inside Men,movie,"Crime, Drama, Thriller",2015,7.0,JP
The Disappointments Room,movie,"Drama, Horror, Thriller",2016,3.9,JP
Samayô kemono,movie,Drama,2013,6.7,JP
Kidnap,movie,"Crime, Thriller",2017,5.9,JP
Otoko wa tsurai yo: Torajiro gambare!,movie,Comedy,1977,6.5,JP
Maze Runner: The Scorch Trials,movie,"Action, Adventure, Sci-Fi",2015,6.3,JP
What Is Your Name?,movie,"Drama, Romance",1953,6.9,JP
Tokyo Refugees,movie,Drama,2014,6.5,JP
Pale Moon,movie,Drama,2014,6.9,JP
Misfire,movie,Action,2014,3.1,JP
The Taking of Tiger Mountain,movie,"Action, Adventure, History",2014,6.4,JP
The Boss Baby,movie,"Adventure, Animation, Comedy",2017,6.3,JP
Everybody Wants Some!!,movie,Comedy,2016,6.9,JP
Iris,movie,"Biography, Documentary, History",2014,7.1,JP
Five Minutes to Tomorrow,movie,"Drama, Romance",2014,5.7,JP
Burnt,movie,"Comedy, Drama",2015,6.6,JP
Princess Jellyfish,movie,"Comedy, Romance",2014,6.2,JP
Man Down,movie,"Drama, Thriller, War",2015,6.0,JP
Deepwater Horizon,movie,"Action, Drama, History",2016,7.1,JP
Whistle Blower,movie,"Crime, Drama, Mystery",2014,6.9,JP
Toriko the Movie: Secret Recipe of Gourmet God!,movie,Animation,2013,7.1,JP
The Furthest End Awaits,movie,Drama,2014,7.0,JP
Ada: Part 2,movie,Horror,2013,6.6,JP
Psycho-Pass: The Movie,movie,"Action, Animation, Crime",2015,7.1,JP
Gurov and Anna,movie,"Drama, Romance",2014,5.6,JP
Fatal Frame,movie,Horror,2014,5.7,JP
The Idolmaster Movie: Beyond the Brilliant Future!,movie,"Animation, Drama, Music",2014,6.8,JP
Blue Demon,movie,"Horror, Sci-Fi",2014,3.9,JP
Fashion King,movie,"Drama, Romance",2014,5.3,JP
"My Love, My Bride",movie,"Comedy, Romance",2014,6.4,JP
Gutshot Straight,movie,"Crime, Thriller",2014,3.6,JP
Gangnam 1970,movie,"Action, Crime, Drama",2015,6.2,JP
L.DK,movie,"Comedy, Drama, Romance",2014,6.1,JP
Suicide Squad,movie,"Action, Adventure, Fantasy",2016,5.9,JP
Wonder Woman,movie,"Action, Adventure, Fantasy",2017,7.3,JP
Aquaman,movie,"Action, Adventure, Fantasy",2018,6.8,JP
Kita no hotaru,movie,Drama,1984,6.8,JP
Capone Cries a Lot,movie,"Action, Comedy",1985,6.2,JP
All Roads Lead to Rome,movie,"Comedy, Drama, Romance",2015,4.9,JP
"When It Rains, It Pours",movie,"Drama, Romance",1957,7.8,JP
In the Hero,movie,Comedy,2014,6.6,JP
The Island Closest to Heaven,movie,Drama,1984,6.1,JP
August Without Emperor,movie,"Drama, Thriller",1978,6.7,JP
Port of Flowers,movie,"Comedy, Drama",1943,6.5,JP
The Smoke,movie,"Crime, Romance, Thriller",2014,4.2,JP
Zhongkui: Snow Girl and the Dark Crystal,movie,"Action, Fantasy, Romance",2015,5.3,JP
Mojin: The Lost Legend,movie,"Action, Adventure, Drama",2015,5.9,JP
Dragon Blade,movie,"Action, Drama, Fantasy",2015,5.9,JP
Comedy Central Roast of James Franco,movie,Comedy,2013,7.7,US
Leatherface,movie,"Crime, Horror, Thriller",2017,5.0,JP
3 Generations,movie,Drama,2015,6.0,JP
Replicas,movie,"Action, Drama, Sci-Fi",2018,5.5,JP
Racing Extinction,movie,"Adventure, Documentary, News",2015,8.2,US
Hot Road,movie,"Drama, Romance",2014,5.6,JP
Miss Granny,movie,"Comedy, Fantasy, Music",2015,6.5,JP
We Are Your Friends,movie,"Drama, Music, Romance",2015,6.2,JP
The Trust,movie,"Action, Crime, Mystery",2016,5.5,JP
Equals,movie,"Drama, Romance, Sci-Fi",2015,6.0,JP
The Hunter's Prayer,movie,"Action, Thriller",2017,5.6,JP
Iron Sky: The Coming Race,movie,"Action, Adventure, Comedy",2019,5.0,JP
Snowden,movie,"Biography, Crime, Drama",2016,7.3,JP
10.0 Earthquake,movie,"Action, Adventure, Drama",2014,3.5,US
Village of Doom,movie,"Crime, Drama",1983,6.6,JP
My Pretend Girlfriend,movie,"Drama, Romance",2014,6.4,JP
Dragon Ball Z: Resurrection 'F',movie,"Action, Adventure, Animation",2015,7.1,JP
The Perfect Guy,movie,"Drama, Romance, Thriller",2015,5.6,US
The Bélier Family,movie,"Comedy, Drama, Music",2014,7.3,JP
Die Dinge zwischen uns,movie,Drama,2008,6.2,JP
Usotsuki paradokusu,movie,Romance,2013,5.2,JP
A Good Husband,movie,Drama,2009,7.5,JP
Recipes of Diet Diaries,movie,"Comedy, Drama",2013,5.7,JP
A Kind of Murder,movie,"Crime, Drama, Mystery",2016,5.3,US
Free and Easy: Samurai Edition,movie,"Comedy, Drama",1998,6.7,JP
Out of This World,movie,"Drama, Music",2004,6.9,JP
Southpaw,movie,"Drama, Sport",2015,7.3,US
Vice,movie,"Action, Sci-Fi, Thriller",2015,4.2,JP
"Stockholm, Pennsylvania",movie,"Drama, Thriller",2015,6.0,JP
Late Spring,movie,"Drama, Romance",2014,6.5,JP
Kickboxer: Vengeance,movie,"Action, Crime, Drama",2016,4.9,JP
An En Vogue Christmas,movie,Drama,2014,5.8,US
Midnight Diner,movie,"Comedy, Drama",2014,7.5,JP
Lila & Eve,movie,"Crime, Drama, Thriller",2015,5.9,US
Blood Father,movie,"Action, Crime, Drama",2016,6.4,JP
Last Days in the Desert,movie,"Drama, Fantasy, History",2015,5.6,JP
Cop Car,movie,"Crime, Thriller",2015,6.3,JP
Turbo Kid,movie,"Action, Adventure, Comedy",2015,6.7,JP
Drive in Gamo,movie,Drama,2014,5.2,JP
Typhoon Over Nagasaki,movie,Drama,1956,5.8,JP
The Murder Case of Hana & Alice,movie,"Animation, Comedy, Crime",2015,7.1,JP
Beyond the Boundary Movie: I'll Be Here - Kako-hen,movie,"Action, Animation, Comedy",2015,6.6,JP
Kinnikuman: Ubawareta champion belt,movie,Animation,1984,6.1,JP
Another Battle,movie,"Action, Crime, Drama",2000,6.7,JP
The Voice of Water,movie,Drama,2014,5.4,JP
Ode to My Father,movie,"Drama, War",2014,7.8,JP
Grasshopper,movie,"Action, Crime, Drama",2015,5.5,JP
Ressha Sentai ToQger vs. Kyoryuger: The Movie,movie,Action,2015,6.7,JP
Love Forecast,movie,"Comedy, Drama, Romance",2015,6.1,JP
The Flame of Devotion,movie,"Drama, Romance",1964,7.3,JP
Documentary of AKB48: The Time Has Come,movie,"Documentary, Music",2014,7.4,JP
The Royal Tailor,movie,Drama,2014,7.0,JP
Spotlight,movie,"Biography, Crime, Drama",2015,8.1,JP
Toto and His Sisters,movie,"Documentary, Drama, Family",2014,8.0,JP
Go See the Fall,movie,"Comedy, Drama",2014,6.5,JP
100 Yen Love,movie,"Comedy, Drama",2014,7.1,JP
Piece of Cake,movie,"Drama, Romance",2015,6.0,JP
The Emperor in August,movie,"Drama, History",2015,6.6,JP
Akumu Chan the Movie,movie,Mystery,2014,4.7,JP
"One Step on a Mine, It's All Over",movie,"Drama, War",1999,6.4,JP
Pretty Cure All Stars: Spring Carnival,movie,"Animation, Comedy, Music, Fantasy, Action, Adventure, Family",2015,,JP
Backstreet Boys: Show 'Em What You're Made Of,movie,Documentary,2015,7.5,JP
Good Manners,movie,"Fantasy, Horror",2017,6.7,JP
The Boy and the Beast,movie,"Action, Adventure, Animation",2015,7.6,JP
The Battle of Port Arthur,movie,"Drama, History, War",1980,6.6,JP
My Beloved Bodyguard,movie,"Action, Crime, Drama",2016,5.9,JP
The Adventures of Kosuke Kindaichi,movie,"Comedy, Crime, Mystery",1979,5.9,JP
Foujita,movie,"Biography, Drama",2015,6.0,JP
Sailor Moon Super S: Ami's First Love,movie,"Adventure, Animation, Fantasy",1995,7.8,JP
Accidental Love,movie,"Comedy, Romance",2015,4.1,JP
Twilight: Saya in Sasara,movie,Drama,2014,5.7,JP
Non-Ko,movie,Comedy,2008,6.2,JP
Half a Confession,movie,"Drama, Mystery",2004,6.4,JP
A Blue Automobile,movie,Drama,2004,6.1,JP
Ultraman Tiga & Ultraman Dyna & Ultraman Gaia: Battle in Hyperspace,movie,"Adventure, Sci-Fi",1999,6.7,JP
Yokohama BJ Blues,movie,"Crime, Drama, Mystery",1981,6.9,JP
Rakka suru yugata,movie,Drama,1998,6.0,JP
Listen to My Heart,movie,"Drama, Romance",2009,6.5,JP
Ultraman,movie,"Action, Fantasy, Sci-Fi",1979,7.0,JP
Otoko wa tsurai yo: Boku no ojisan,movie,Comedy,1989,6.8,JP
Joker Game,movie,"Action, Thriller",2015,5.3,JP
Chasuke's Journey,movie,"Action, Comedy, Fantasy",2015,6.0,JP
Beijing Watermelon,movie,Drama,1989,7.2,JP
Saraba itoshiki hito yo,movie,"Action, Crime, Drama",1987,6.1,JP
Drowning Fish,movie,Thriller,2001,6.2,JP
Under the Same Moon,movie,"Crime, Drama",2005,5.5,JP
Where the Legend Lives,movie,Drama,2008,5.9,JP
GS Wonderland,movie,"Comedy, Music",2008,6.1,JP
Kindaichi shonen no jikembo: Shanghai ningyo densetsu,movie,"Comedy, Crime, Horror",1997,6.0,JP
Niji o tsukamu otoko,movie,Drama,1996,6.6,JP
Tora-San Makes Excuses,movie,"Comedy, Drama",1992,6.4,JP
Totsunyûseyo! 'Asama Sansô' jiken,movie,"Action, Crime, Drama",2002,6.1,JP
Lost Crime,movie,Drama,2010,5.3,JP
Iliza Shlesinger: Freezing Hot,movie,"Comedy, Documentary",2015,6.8,US
Name Me,movie,"Adventure, Drama",2014,6.3,JP
Free and Easy 15: No Tomorrow for Hama-chan?!,movie,Comedy,2004,6.0,JP
New Initial D the Movie: Legend 2 - Racer,movie,"Animation, Sport",2015,7.3,JP
Gachi-ban,movie,"Action, Drama",2008,6.1,JP
The Intruders,movie,"Drama, Horror, Mystery",2015,4.5,JP
The Diabolical,movie,"Horror, Sci-Fi",2015,4.7,JP
One and Two,movie,"Drama, Fantasy, Thriller",2015,5.2,JP
Mother,movie,Horror,2014,4.0,JP
Sleepless,movie,"Action, Thriller",2017,5.6,JP
John Wick: Chapter 2,movie,"Action, Crime, Thriller",2017,7.4,"JP, US"
Jason Bourne,movie,"Action, Thriller",2016,6.6,JP
Lost Flower: Eo Woo-dong,movie,Drama,2015,5.3,JP
Hacksaw Ridge,movie,"Biography, Drama, History",2016,8.1,JP
Despicable Me 3,movie,"Adventure, Animation, Comedy",2017,6.3,JP
Hardcore Henry,movie,"Action, Adventure, Sci-Fi",2015,6.7,JP
American Pastoral,movie,"Crime, Drama, Mystery",2016,6.1,JP
Kevin Hart Presents: Keith Robinson - Back of the Bus Funny,movie,Comedy,2014,5.8,US
W's Tragedy,movie,"Drama, Mystery",1984,7.2,JP
Bang Gang: A Modern Love Story,movie,"Drama, Romance",2015,5.5,JP
Waruboro,movie,Comedy,2007,5.4,JP
Thomas & Friends: The Adventure Begins,movie,"Adventure, Animation, Comedy",2015,7.8,JP
O-Roshiya-koku suimu-tan,movie,"Biography, Drama, History",1992,7.0,JP
Shodô Girls!!,movie,Drama,2010,7.3,JP
"Good Bye, My Secret Friend",movie,"Comedy, Drama",2009,6.2,JP
Hameln,movie,Drama,2013,7.0,JP
Main Theme,movie,"Comedy, Drama, Romance",1984,5.9,JP
Penguins in the sky - Asahiyama zoo,movie,Drama,2008,6.2,JP
Black Dawn,movie,Drama,2012,6.1,JP
The Secret Life of Pets,movie,"Adventure, Animation, Comedy",2016,6.5,JP
Nerve,movie,"Adventure, Crime, Drama",2016,6.5,JP
Approaching the Unknown,movie,"Drama, Sci-Fi, Thriller",2016,4.9,JP
Flare,movie,Drama,2014,5.9,JP
Detective K: Secret of the Lost Island,movie,"Action, Adventure, Comedy",2015,6.2,JP
The Doorman,movie,"Action, Drama, Thriller",2020,4.7,JP
The Killing Game,movie,"Action, Crime, Thriller",1978,6.2,JP
Shaso,movie,"Drama, Thriller",1989,6.6,JP
Little Love Song,movie,"Drama, Music, Romance",2019,6.2,JP
CM Time,movie,Comedy,2012,,JP
2.0,movie,"Action, Sci-Fi, Thriller",2018,6.0,JP
The Benefactor,movie,Drama,2015,5.2,JP
Eiffel,movie,"Biography, Drama, History",2021,6.2,JP
Stage-struck Tora-san,movie,Comedy,1978,6.1,JP
Orphan: First Kill,movie,"Crime, Drama, Horror",2022,5.9,JP
Ghoul,movie,"Horror, Thriller",2015,4.6,JP
Salut d'Amour,movie,"Drama, Romance",2015,7.2,JP
Tora-san's Tropical Fever,movie,"Comedy, Drama, Romance",1980,6.8,JP
Laplace's Witch,movie,"Drama, Mystery, Thriller",2018,5.2,JP
Noh Mask Murders,movie,"Drama, Mystery",1991,5.4,JP
Billy & Molly: An Otter Love Story,movie,Documentary,2024,8.0,US
Paws of Fury: The Legend of Hank,movie,"Action, Adventure, Animation",2022,5.8,US
"Oh Brother, Oh Sister!",movie,Comedy,2014,6.3,JP
Susie Searches,movie,"Comedy, Drama, Mystery",2022,5.9,US
Nakinureta haru no onna yo,movie,"Drama, Romance",1933,6.8,JP
Being Good,movie,"Comedy, Drama, Family",2015,7.2,JP
Finding the Adolescence,movie,"Comedy, Drama",2014,5.9,JP
She Taught Love,movie,"Drama, Romance",2024,5.2,US
Ginpei-cho cinema blues,movie,Drama,2022,6.1,JP
Gekijôban Shingeki no Kyojin Kôhen: Jiyû no tsubasa,movie,"Action, Animation, Fantasy",2015,7.9,JP
Amusement Park,movie,Drama,2024,6.0,JP
Child Star,movie,Documentary,2024,6.6,US
Hunt,movie,"Action, Drama, Mystery",2022,6.7,US
Mission Possible,movie,"Action, Comedy, Crime",2021,6.5,JP
Confession,movie,"Crime, Mystery, Thriller",2022,6.6,JP
North Hollywood,movie,"Comedy, Drama, Sport",2021,5.9,"JP, US"
Girl in the Bunker,movie,Drama,2018,5.8,US
Mirai,movie,"Adventure, Animation, Drama",2018,7.0,JP
La Chimera,movie,"Adventure, Comedy, Fantasy",2023,7.3,US
Bullet Train,movie,"Action, Comedy, Thriller",2022,7.3,US
Barbarian,movie,"Horror, Mystery, Thriller",2022,7.0,US
Fantastic Beasts: The Secrets of Dumbledore,movie,"Adventure, Fantasy",2022,6.2,JP
Gatchaman The Movie,movie,"Action, Adventure, Animation",1978,6.4,JP
Kill Zone 2,movie,"Action, Adventure, Crime",2015,6.7,JP
Amy,movie,"Biography, Documentary, Music",2015,7.8,JP
The Passion of Augustine,movie,Drama,2015,7.2,JP
Exposed,movie,"Crime, Drama, Mystery",2016,4.3,JP
The Public,movie,Drama,2018,6.6,JP
Kamen Rider Gaim: Gaiden - Zangetsu And Baron,movie,"Science Fiction, Action, Adventure",2015,,JP
Sherlock Hound: The Adventure of the Blue Carbuncle / Treasure Under the Sea,movie,"Animation, Mystery, Adventure, Comedy",1984,,JP
I Am Wrath,movie,"Action, Thriller",2016,5.4,JP
A Star Is Born,movie,"Drama, Music, Romance",2018,7.6,JP
Rendez-Vous,movie,"Drama, Romance",2015,5.6,JP
Deadman Inferno,movie,"Action, Horror",2015,5.5,JP
Comedy Central Roast of Justin Bieber,movie,Comedy,2015,7.3,US
