Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,7.6,"DK, FI, NO, SE"
Jarhead,movie,"Biography, Drama, War",2005,7.0,"HK, ID, MY, PH, SG, TH, TW"
Unforgiven,movie,"Drama, Western",1992,8.2,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,8.3,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
A History of Violence,movie,"Action, Crime, Drama",2005,7.4,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968,8.3,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
Absolute Power,movie,"Action, Crime, Drama",1997,6.7,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Billy Elliot,movie,"Drama, Music",2000,7.7,"FR, MC"
American History X,movie,"Crime, Drama",1998,8.5,NL
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,6.4,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Before Sunrise,movie,"Drama, Romance",1995,8.1,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Blade Runner,movie,"Action, Drama, Sci-Fi",1982,8.1,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
Before Sunset,movie,"Drama, Romance",2004,8.1,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,8.0,US
Miami Vice,movie,"Action, Crime, Drama",2006,6.1,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,8.5,"BA, BE, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
Taxi Driver,movie,"Crime, Drama",1976,8.2,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,8.5,"BE, FR, MC"
Snatch,movie,"Comedy, Crime",2000,8.2,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Three Colors: Blue,movie,"Drama, Music, Mystery",1993,7.8,US
Three Colors: White,movie,"Comedy, Drama, Romance",1994,7.6,US
Three Colors: Red,movie,"Drama, Mystery, Romance",1994,8.1,US
Pretty Woman,movie,"Comedy, Romance",1990,7.1,"AD, DK, ES, FI, NO, PT, SE, US"
The Big Lebowski,movie,"Comedy, Crime",1998,8.1,"BE, FR, MC"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,6.7,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,8.9,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,8.8,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,9.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997,8.3,US
Spirited Away,movie,"Adventure, Animation, Family",2001,8.6,US
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,8.0,"FR, MC"
Brokeback Mountain,movie,"Drama, Romance",2005,7.7,US
Wings of Desire,movie,"Drama, Fantasy, Romance",1987,7.9,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,7.9,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
The 400 Blows,movie,"Crime, Drama",1959,8.0,US
The Dark Knight,movie,"Action, Crime, Drama",2008,9.0,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
Ocean's Twelve,movie,"Crime, Thriller",2004,6.5,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,7.8,"BE, FR, MC"
Saw,movie,"Horror, Mystery, Thriller",2004,7.6,US
The Interpreter,movie,"Crime, Mystery, Thriller",2005,6.4,"FR, HK, ID, MC, MY, PH, SG, TH, TW"
The Good German,movie,"Drama, Mystery, Romance",2006,6.0,PT
A Clockwork Orange,movie,"Crime, Sci-Fi",1971,8.2,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Sin City,movie,"Crime, Thriller",2005,8.0,"FR, HK, ID, MC, MY, PH, SG, TH, TW"
Amélie,movie,"Comedy, Romance",2001,8.3,US
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,7.4,"BE, FR, MC"
Braveheart,movie,"Biography, Drama, War",1995,8.3,"AD, ES, PT"
To Be or Not to Be,movie,"Comedy, Romance, War",1942,8.1,US
Mean Streets,movie,"Crime, Drama, Thriller",1973,7.2,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953,8.1,US
North by Northwest,movie,"Adventure, Drama, Mystery",1959,8.3,"BE, FR, MC"
Saw III,movie,"Horror, Mystery, Thriller",2006,6.2,US
Saw II,movie,"Horror, Mystery",2005,6.6,US
Ali: Fear Eats the Soul,movie,"Drama, Romance",1974,8.0,US
The Terminator,movie,"Action, Adventure, Sci-Fi",1984,8.1,"HK, ID, MY, PH, SG, TH, TW"
East of Eden,movie,Drama,1955,7.8,"BE, FR, MC"
Rebel Without a Cause,movie,Drama,1955,7.6,"BE, FR, MC, US"
Berlin: Symphony of Metropolis,movie,Documentary,1927,7.6,US
Bride of Frankenstein,movie,"Drama, Horror, Sci-Fi",1935,7.8,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,6.9,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
The Godfather,movie,"Crime, Drama",1972,9.2,"AD, ES, PT"
The Godfather Part II,movie,"Crime, Drama",1974,9.0,"AD, ES, PT"
The Godfather Part III,movie,"Crime, Drama",1990,7.6,"AD, ES, PT"
About a Boy,movie,"Comedy, Drama, Romance",2002,7.1,"FR, MC, NL"
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971,7.8,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
King Kong,movie,"Action, Adventure, Romance",2005,7.2,"BE, FR, MC"
The 39 Steps,movie,"Crime, Mystery, Thriller",1935,7.6,US
Batman,movie,"Action, Adventure",1989,7.5,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Breathless,movie,"Crime, Drama",1960,7.7,US
Batman Begins,movie,"Action, Drama",2005,8.2,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Underworld,movie,"Action, Fantasy, Thriller",2003,7.0,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Shawshank Redemption,movie,Drama,1994,9.3,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,8.6,"FR, MC, NL"
Casablanca,movie,"Drama, Romance, War",1942,8.5,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
Meet Joe Black,movie,"Drama, Fantasy, Romance",1998,7.2,"BE, FR, HK, ID, MC, MY, PH, SG, TH, TW"
Rio Bravo,movie,Western,1959,8.0,"BE, FR, MC"
"Rome, Open City",movie,"Drama, Thriller, War",1945,8.0,US
Bruce Almighty,movie,"Comedy, Fantasy",2003,6.8,"DK, FI, NO, SE"
Catwoman,movie,"Action, Crime, Fantasy",2004,3.4,"AD, BE, ES, FR, MC, PT"
Mystic River,movie,"Crime, Drama, Mystery",2003,7.9,"BE, FR, MC, PT"
Snakes on a Plane,movie,"Action, Adventure, Crime",2006,5.5,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Magnolia,movie,Drama,1999,8.0,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Good Bye Lenin!,movie,"Comedy, Drama, Romance",2003,7.7,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Night on Earth,movie,"Comedy, Drama",1991,7.7,US
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999,7.5,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Seven Samurai,movie,"Action, Drama",1954,8.6,US
The Devil Wears Prada,movie,"Comedy, Drama",2006,6.9,"AD, ES, PT, US"
Batman Returns,movie,"Action, Crime, Fantasy",1992,7.1,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
A Nightmare on Elm Street,movie,Horror,1984,7.4,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Rain Man,movie,Drama,1988,8.0,"BA, BG, CZ, HK, HR, HU, ID, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
Inside Man,movie,"Crime, Drama, Mystery",2006,7.6,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Who's Afraid of Virginia Woolf?,movie,Drama,1966,8.0,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
French Kiss,movie,"Comedy, Drama, Romance",1995,6.6,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
La Strada,movie,Drama,1954,8.0,US
The English Patient,movie,"Drama, Romance, War",1996,7.4,"HK, ID, MY, PH, SG, TH, TW"
Batman Forever,movie,"Action, Adventure",1995,5.4,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Batman & Robin,movie,"Action, Sci-Fi",1997,3.8,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
8½,movie,Drama,1963,8.0,US
The Pianist,movie,"Biography, Drama, Music",2002,8.5,"FR, MC"
Vertigo,movie,"Mystery, Romance, Thriller",1958,8.3,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
My Uncle,movie,Comedy,1958,7.7,US
Maria Full of Grace,movie,"Crime, Drama",2004,7.4,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, GT, HK, HN, HR, HU, ID, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TH, TW, US, UY, VE"
Caché,movie,"Drama, Mystery, Thriller",2005,7.3,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Leaving Las Vegas,movie,"Drama, Romance",1995,7.5,US
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001,8.2,"HK, ID, MY, PH, SG, TH, TW"
Erin Brockovich,movie,"Biography, Drama",2000,7.5,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
Stranger Than Paradise,movie,"Comedy, Drama",1984,7.4,US
Bonnie and Clyde,movie,"Action, Biography, Crime",1967,7.7,"BE, FR, MC"
Good Will Hunting,movie,"Drama, Romance",1997,8.3,"AD, ES, HK, ID, MY, PH, SG, TH, TW"
The Seventh Seal,movie,"Drama, Fantasy",1957,8.1,US
The Green Mile,movie,"Crime, Drama, Fantasy",1999,8.6,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PY, SV, TC, TT, UY, VE"
Cléo from 5 to 7,movie,"Comedy, Drama, Music",1962,7.8,US
Poseidon,movie,"Action, Adventure, Thriller",2006,5.7,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Marnie,movie,"Crime, Drama, Mystery",1964,7.1,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Love Actually,movie,"Comedy, Drama, Romance",2003,7.6,NL
Notting Hill,movie,"Comedy, Drama, Romance",1999,7.2,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
One Flew Over the Cuckoo's Nest,movie,Drama,1975,8.7,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
Scoop,movie,"Comedy, Crime, Fantasy",2006,6.6,"FR, MC"
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"Adventure, Animation, Comedy",2005,7.5,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,6.5,"HK, ID, MY, PH, SG, TH, TW, US"
Psycho,movie,"Horror, Mystery, Thriller",1960,8.5,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Crime of Padre Amaro,movie,"Drama, Romance",2002,6.7,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Rashomon,movie,"Crime, Drama, Mystery",1950,8.2,US
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,7.4,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,7.5,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,6.3,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Constantine,movie,"Action, Fantasy, Horror",2005,7.0,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
The Mummy,movie,"Action, Adventure, Fantasy",1999,7.1,"BE, FR, MC"
The Ring,movie,"Horror, Mystery",2002,7.1,"HK, ID, MY, PH, SG, TH, TW"
Rear Window,movie,"Drama, Mystery, Thriller",1954,8.5,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Apollo 13,movie,"Adventure, Drama, History",1995,7.7,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
The Birds,movie,"Drama, Horror, Mystery",1963,7.6,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Frenzy,movie,Thriller,1972,7.4,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Man Who Knew Too Much,movie,"Drama, Thriller",1956,7.4,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Wild Bunch,movie,"Action, Adventure, Drama",1969,7.9,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Da Vinci Code,movie,"Mystery, Thriller",2006,6.6,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Solaris,movie,"Drama, Mystery, Sci-Fi",1972,7.9,US
Titanic,movie,"Drama, Romance",1997,7.9,"AD, DK, ES, FI, NO, PT, SE"
City of God,movie,"Crime, Drama",2002,8.6,"AD, AR, BO, BR, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, HN, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, UY, VE"
Full Metal Jacket,movie,"Drama, War",1987,8.2,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
Independence Day,movie,"Action, Adventure, Sci-Fi",1996,7.0,US
The Matrix,movie,"Action, Sci-Fi",1999,8.7,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,7.2,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,6.7,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
Men in Black,movie,"Action, Adventure, Comedy",1997,7.3,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Men in Black II,movie,"Action, Adventure, Comedy",2002,6.2,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Poltergeist,movie,"Horror, Thriller",1982,7.3,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
Munich,movie,"Drama, History, Thriller",2005,7.5,"HK, ID, MY, PH, SG, TH, TW"
Wild Strawberries,movie,"Drama, Romance",1957,8.1,US
The Last Samurai,movie,"Action, Drama",2003,7.8,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Wild Things,movie,"Crime, Drama, Mystery",1998,6.6,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Bodyguard,movie,"Drama, Music, Romance",1992,6.4,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,7.8,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
Grease,movie,"Comedy, Musical, Romance",1978,7.2,"AD, DK, ES, FI, NO, PT, SE"
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,7.5,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
The Usual Suspects,movie,"Crime, Drama, Mystery",1995,8.5,US
The Wizard of Oz,movie,"Adventure, Family, Fantasy",1939,8.1,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,6.8,"FR, MC, NL, US"
When Harry Met Sally...,movie,"Comedy, Drama, Romance",1989,7.7,"BA, BG, CZ, HK, HR, HU, ID, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
Catch Me If You Can,movie,"Biography, Crime, Drama",2002,8.1,"HK, ID, MY, PH, SG, TH, TW"
Battleship Potemkin,movie,"Drama, History, Thriller",1925,7.9,US
Beauty and the Beast,movie,"Drama, Fantasy, Romance",1946,7.9,US
Belle de Jour,movie,"Drama, Romance",1967,7.6,US
