title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,519964,"DK, FI, NO, SE"
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,213029,"HK, ID, MY, PH, SG, TH, TW"
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,447253,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1116278,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,260655,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,742371,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,61665,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,146546,"FR, MC"
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1216214,NL
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,249771,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,352212,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,843536,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,297333,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,187995,US
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,126374,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1714491,"BA, BE, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,959144,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1353136,"BE, FR, MC"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,933232,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,113468,US
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81764,US
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,112482,US
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,378349,"AD, DK, ES, FI, NO, PT, SE, US"
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,880010,"BE, FR, MC"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,544387,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
